연번,도로명주소,구분,세부위치,박스수량,관리자,관리부서,관리자연락처,데이터기준일자,
143.0,서울특별시 마포구 서교동 홍익로 10,공동주택,서교대우푸르지오 관리실,1.0,김종권,자원순환과,02-3153-9216,45064.0,
144.0,서울특별시 마포구 서교동 홍익로 10,공동주택,서교대우푸르지오 지하상가,1.0,김종권,자원순환과,02-3153-9216,45064.0,
145.0,서울특별시 마포구 서교동 양화로 156,주택가,LG팰리스B/D 뒤,1.0,김종권,자원순환과,02-3153-9216,45064.0,
146.0,서울특별시 마포구 서교동 와우산로33길 26-7,공동주택,대아아파트 내,1.0,김종권,자원순환과,02-3153-9216,45064.0,
147.0,서울특별시 마포구 서교동 서강로119,주택가,옆이면도로,1.0,김종권,자원순환과,02-3153-9216,45064.0,
148.0,서울특별시 마포구 서교동 홍익로10,주택가, 서교푸르지오후면담장앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
149.0,서울특별시 마포구 서교동 월드컵북로2길 65,주택가, KT신촌지사(교동집 앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
150.0,서울특별시 마포구 서교동 월드컵북로4길 54,공동주택,기린동산빌라,1.0,김종권,자원순환과,02-3153-9216,45064.0,
151.0,서울특별시 마포구 서교동 동교로 158,주택가,서교동연탄집앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
152.0,서울특별시 마포구 합정동 성지1길 32-13,주택가,성산중학교 후문 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
153.0,서울특별시 마포구 합정동 토정로4길 27,주택가,당인리발전소길,1.0,김종권,자원순환과,02-3153-9216,45064.0,
154.0,서울특별시 마포구 합정동 토정로2길 27,주택가,국제 가톨릭 형제회 앞 공원,1.0,김종권,자원순환과,02-3153-9216,45064.0,
155.0,서울특별시 마포구 합정동 토정로2길 6-12,공동주택,동원한강 파크빌 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
156.0,서울특별시 마포구 합정동 독막로8길 32,주택가,동삼주택 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
157.0,서울특별시 마포구 합정동 토정로5길 9,공동주택,일신건영 휴먼빌 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
158.0,서울특별시 마포구 합정동 어울마당로11,공동주택,장미 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
159.0,서울특별시 마포구 합정동 토정로67,공동주택,두영이지안 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
160.0,서울특별시 마포구 합정동 희우정로 41,주택가,백운아트 빌라 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
161.0,서울특별시 마포구 합정동 동교로8길 58,주택가,우리마포시니어클럽옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
162.0,서울특별시 마포구 합정동 희우정로15,주택가,한국 프라우드 아파트 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
163.0,서울특별시 마포구 합정동 양화로26,공동주택,엠파이어리버 B/D 지하2층,1.0,김종권,자원순환과,02-3153-9216,45064.0,
164.0,서울특별시 마포구 합정동 양화로3길 94,학교,성산 초등학교 내,1.0,김종권,자원순환과,02-3153-9216,45064.0,
165.0,서울특별시 마포구 합정동 양화진길5,주택가,합정아파트앞,1.0,김종권,자원순환과,02-3153-9217,45064.0,
166.0,서울특별시 마포구 합정동 동교로16-18 ,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
167.0,서울특별시 마포구 합정동 월드컵북로4길54,주택가,기린동산빌라,1.0,김종권,자원순환과,02-3153-9216,45064.0,
168.0,서울특별시 마포구 합정동 독막로4길 17,주택가,성산중학교 담장 옆,1.0,김종권,자원순환과,02-3153-9216,45064.0,
169.0,서울특별시 마포구 합정동 성지1길10-8,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
170.0,서울특별시 마포구 망원1동 포은로6길10,주민센터,망원1동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
171.0,서울특별시 마포구 망원1동 포은로8길8,공동주택,대상4차 아파트 주차장 안쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
172.0,서울특별시 마포구 망원1동 망원로88,공동주택,삼성화원아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
173.0,서울특별시 마포구 망원1동 월드컵로15길53,주택가,한마음공원 민방위급수시설 뒤,1.0,김종권,자원순환과,02-3153-9216,45064.0,
174.0,서울특별시 마포구 망원1동 월드컵로11길35,공동주택,함성월드아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
175.0,서울특별시 마포구 망원1동 동교로75,주택가,조명가게앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
176.0,서울특별시 마포구 망원1동 망원로2길103,공동주택,대림1차아파트 지하1층 주차장 내,1.0,김종권,자원순환과,02-3153-9216,45064.0,
177.0,서울특별시 마포구 망원1동 희우정로20길53,주택가,현대타운 9동 코너 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
178.0,서울특별시 마포구 망원1동 망원로4길38,주택가,옹달샘공원앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
179.0,서울특별시 마포구 망원1동 망원로4길8,공동주택,성원2차아파트 놀이터 안쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
180.0,서울특별시 마포구 망원1동 동교로3길125,공동주택,현진에버빌아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
181.0,서울특별시 마포구 망원1동 동교로3길115,공동주택,대주2차피오레아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
182.0,서울특별시 마포구 망원1동 동교로3길79,공동주택, 강변타운 아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
183.0,서울특별시 마포구 망원1동 동교로3길67,공동주택,대주1차피오레 아파트 경비실 뒤쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
184.0,서울특별시 마포구 망원1동 동교로1길48,공동주택,현대리버빌아파트,1.0,김종권,자원순환과,02-3153-9216,45064.0,
185.0,서울특별시 마포구 망원2동 망원로11길35,공동주택,함성월드빌3차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
186.0,서울특별시 마포구 망원2동 망원로11길38,공동주택,미원1차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
187.0,서울특별시 마포구 망원2동 망원로11길73,공동주택,함성월드빌1차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
188.0,서울특별시 마포구 망원2동 방울내로5길49,공동주택,탑건진선미@ ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
189.0,서울특별시 마포구 망원2동 방울내로11길43,공동주택,마젤란@  ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
190.0,서울특별시 마포구 망원2동 방울내로9안길57,공동주택,동원 데자뷰@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
191.0,서울특별시 마포구 망원2동 방울내로43,공동주택,신부4차파스카@ ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
192.0,서울특별시 마포구 망원2동 방울내로36,공동주택,두영이지안@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
193.0,서울특별시 마포구 망원2동 방울내로31,공동주택,휴먼빌@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
194.0,서울특별시 마포구 망원2동 월드컵로31길89,공동주택,함성드림빌@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
195.0,서울특별시 마포구 망원2동 월드컵로31길107,공동주택, 대상3차@ ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
196.0,서울특별시 마포구 망원2동 방울내로7길11,주민센터,망원2동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
197.0,서울특별시 마포구 망원2동 방울내로5길28,학교,망원초등학교,1.0,김종권,자원순환과,02-3153-9216,45064.0,
198.0,서울특별시 마포구 망원2동 방울내로11길38,공동주택,월드컵@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
199.0,서울특별시 마포구 망원2동 방울내로9안길86,공동주택,가나다맨션,1.0,김종권,자원순환과,02-3153-9216,45064.0,
200.0,서울특별시 마포구 망원2동 방울내로11길157,주택가,삼성주택,1.0,김종권,자원순환과,02-3153-9216,45064.0,
201.0,서울특별시 마포구 망원2동 방울내로11길147,공동주택,강림@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
202.0,서울특별시 마포구 망원2동 망원로1길27,공동주택,대림2차@ ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
203.0,서울특별시 마포구 망원2동 월드컵로29길113,공동주택,백합@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
204.0,서울특별시 마포구 망원2동 망원로3길30,주택가,복지마트 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
205.0,서울특별시 마포구 망원2동 망원동 429-4,공동주택,대성1,2차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
206.0,서울특별시 마포구 망원2동 방울내로19,주택가,공중화장실 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
207.0,서울특별시 마포구 연남동 성미산로29길 17-9,주민센터, 연남동주민센터 주차장,1.0,김종권,자원순환과,02-3153-9216,45064.0,
208.0,서울특별시 마포구 연남동 성미산로29길 17-3,주택가,은행나무어린이공원 입구,1.0,김종권,자원순환과,02-3153-9216,45064.0,
209.0,서울특별시 마포구 연남동 동교로51길17,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
210.0,서울특별시 마포구 연남동 동교로 282,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
211.0,서울특별시 마포구 연남동 동교로51길51,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
212.0,서울특별시 마포구 연남동 성미산로29길 45,주택가,신흥아3차빌라 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
213.0,서울특별시 마포구 연남동 동교로39길11 ,공동주택,대명아파트 단지 안,1.0,김종권,자원순환과,02-3153-9216,45064.0,
214.0,서울특별시 마포구 연남동 연남로30,공동주택, 코오롱하늘채 (106, 101.양쪽 끝),2.0,김종권,자원순환과,02-3153-9216,45064.0,
215.0,서울특별시 마포구 연남동 연남로3길 80,주택가,느티나무공원 옆 ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
216.0,서울특별시 마포구 연남동 성미산로19길8,주택가,,1.0,김종권,자원순환과,02-3153-9216,45064.0,
217.0,서울특별시 마포구 연남동 연남로7길38,주택가,담장코너,1.0,김종권,자원순환과,02-3153-9216,45064.0,
218.0,서울특별시 마포구 연남동 연남로7길10,주택가,후문,1.0,김종권,자원순환과,02-3153-9216,45064.0,
219.0,서울특별시 마포구 연남동 연남로67,주택가,이조빌라 담장 ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
220.0,서울특별시 마포구 성산1동 성산로2길 21,주택가,대한경호무술협회,1.0,김종권,자원순환과,02-3153-9216,45064.0,
221.0,서울특별시 마포구 성산1동 성산로2길 55,주택가,경안운수 담벽(샤인빌딩 맞은편),1.0,김종권,자원순환과,02-3153-9216,45064.0,
222.0,서울특별시 마포구 성산1동 월드컵로30길 12,주택가,노블에비뉴 담벽(승남철물점 맞은편),1.0,김종권,자원순환과,02-3153-9216,45064.0,
223.0,서울특별시 마포구 성산1동 월드컵로26길 52,주택가,광성슈퍼 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
224.0,서울특별시 마포구 성산1동 성미산로7안길 40,주택가,자담이움@ 뒤쪽,1.0,김종권,자원순환과,02-3153-9216,45064.0,
225.0,서울특별시 마포구 성산1동 월드컵로30가길 27,주택가,갤럭시빌라(에덴마트),1.0,김종권,자원순환과,02-3153-9216,45064.0,
226.0,서울특별시 마포구 성산1동 월드컵로30길 34,주택가,유안빌라,1.0,김종권,자원순환과,02-3153-9216,45064.0,
227.0,서울특별시 마포구 성산1동 월드컵북로12길 106,주택가,해피존Ⅱ(3-4라인) 맞은편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
228.0,서울특별시 마포구 성산1동 연남로13길 21,주택가,동양하우징 101동 맞은편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
229.0,서울특별시 마포구 성산1동 월드컵북로18길 13,주택가,the M hotel 뒤편,1.0,김종권,자원순환과,02-3153-9216,45064.0,
230.0,서울특별시 마포구 성산1동 월드컵북로12안길 34,주택가,대신택배,1.0,김종권,자원순환과,02-3153-9216,45064.0,
231.0,서울특별시 마포구 성산1동 월드컵북로12길 27,주택가,다솜어린이공원 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
232.0,서울특별시 마포구 성산1동 성미산로11길 36,주택가,대진유치원,1.0,김종권,자원순환과,02-3153-9216,45064.0,
233.0,서울특별시 마포구 성산1동 성미산로 51 ,학교,홍대부속초교 내부 (재활용집하장),1.0,김종권,자원순환과,02-3153-9216,45064.0,
234.0,서울특별시 마포구 성산1동 성미산로3길 67,주택가,성서초교 후문(성미산로옹벽4번길위),1.0,김종권,자원순환과,02-3153-9216,45064.0,
235.0,서울특별시 마포구 성산1동 성산로4길 75,공동주택,대원칸타빌@ 내부,1.0,김종권,자원순환과,02-3153-9216,45064.0,
236.0,서울특별시 마포구 성산1동 월드컵북로15길 37,주택가,나눔빌,1.0,김종권,자원순환과,02-3153-9216,45064.0,
237.0,서울특별시 마포구 성산1동 성산로4길 15,주민센터,성산1동주민센터 ,1.0,김종권,자원순환과,02-3153-9216,45064.0,
238.0,서울특별시 마포구 성산2동 월드컵북로30길 22,주민센터,성산2동주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
239.0,서울특별시 마포구 성산2동 새터산길 25,주택가,쌍둥이어린이공원,1.0,김종권,자원순환과,02-3153-9216,45064.0,
240.0,서울특별시 마포구 성산2동 월드컵로 207,공동주택,SH공사성산@ (복지관앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
241.0,서울특별시 마포구 성산2동 월드컵로 207,공동주택,SH공사성산@ (103동,104동),2.0,김종권,자원순환과,02-3153-9216,45064.0,
242.0,서울특별시 마포구 성산2동 월드컵북로 233,공동주택,성산시영@(2동, 25동, 31동),3.0,김종권,자원순환과,02-3153-9216,45064.0,
243.0,서울특별시 마포구 성산2동 월드컵북로38길 21,학교,한국우진학교,1.0,김종권,자원순환과,02-3153-9216,45064.0,
244.0,서울특별시 마포구 성산2동 성암로7길 3,공동주택,성산현대2차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
245.0,서울특별시 마포구 성산2동 성암로5길 12,공동주택,동원월드타운@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
246.0,서울특별시 마포구 성산2동 성암로1길 12,공동주택,성사풍림@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
247.0,서울특별시 마포구 성산2동 모래내로9길 6,공동주택,월드컵I-PARK 1,2차@(우측-1,우측-2,좌측),3.0,김종권,자원순환과,02-3153-9216,45064.0,
248.0,서울특별시 마포구 성산2동 월드컵북로 152,학교,중동초등학교,1.0,김종권,자원순환과,02-3153-9216,45064.0,
249.0,서울특별시 마포구 성산2동 월드컵북로30길 13,공동주택,성산월드타운대림@(입구좌측, 입구우측, 108동),3.0,김종권,자원순환과,02-3153-9216,45064.0,
250.0,서울특별시 마포구 성산2동 월드컵북로 216,공동주택,대림e편한세상2차@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
251.0,서울특별시 마포구 성산2동 모래내로3길 2 ,공동주택,성산동성@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
252.0,서울특별시 마포구 성산2동 월드컵로 190,공동주택,이안상암2차오피스텔,1.0,김종권,자원순환과,02-3153-9216,45064.0,
253.0,서울특별시 마포구 성산2동 성암로11길 60,공동주택,중동청구@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
254.0,서울특별시 마포구 성산2동 월드컵북로38길 53,공동주택,월드컵참누리@(102동,108동,109동,경비실앞),4.0,김종권,자원순환과,02-3153-9216,45064.0,
255.0,서울특별시 마포구 성산2동 월드컵북로38가길 20,공동주택,중동계룡@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
256.0,서울특별시 마포구 성산2동 월드컵북로38길 26,학교,신북초등학교,1.0,김종권,자원순환과,02-3153-9216,45064.0,
257.0,서울특별시 마포구 성산2동 성암로 91,공동주택,현대1차@(103동,106동),2.0,김종권,자원순환과,02-3153-9216,45064.0,
258.0,서울특별시 마포구 성산2동 성암로7길 14,공동주택,중동강림월드@,1.0,김종권,자원순환과,02-3153-9216,45064.0,
259.0,서울특별시 마포구 성산2동 모래내로9길 30,공동주택,건영월드컵@ (101동 앞 재활용장),1.0,김종권,자원순환과,02-3153-9216,45064.0,
260.0,서울특별시 마포구 성산2동 새터산14안길 13,주택가,부성빌라,1.0,김종권,자원순환과,02-3153-9216,45064.0,
261.0,서울특별시 마포구 성산2동 월드컵북로 197,주택가,성산고가 밑,1.0,김종권,자원순환과,02-3153-9216,45064.0,
262.0,서울특별시 마포구 성산2동 성암로9안길 25,주택가,신혼빌라 B동 건너,1.0,김종권,자원순환과,02-3153-9216,45064.0,
263.0,서울특별시 마포구 성산2동 성암로1길22,주택가,소노하우스앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
264.0,서울특별시 마포구 상암동 월드컵북로 502-7,공동주택,월드컵파크 12단지(1201.1203.1207=각동1개씩) ,3.0,김종권,자원순환과,02-3153-9216,45064.0,
265.0,서울특별시 마포구 상암동 월드컵북로 502-37,공동주택,월드컵파크 11단지(1101.1102.1103.1108=각동1개씩),4.0,김종권,자원순환과,02-3153-9216,45064.0,
266.0,서울특별시 마포구 상암동 월드컵북로 502-36,공동주택,월드컵파크 10단지(1008.1009.1013.1015, 1016=각동1개씩),5.0,김종권,자원순환과,02-3153-9216,45064.0,
267.0,서울특별시 마포구 상암동 월드컵북로 501,공동주택,월드컵파크 9단지(903.904.906.908.910.911.912=각동1개씩) ,7.0,김종권,자원순환과,02-3153-9216,45064.0,
268.0,서울특별시 마포구 상암동 월드컵로42길 12,공동주택,월드컵파크 8단지(802, 806, 811, 812=각동1개씩),4.0,김종권,자원순환과,02-3153-9216,45064.0,
269.0,서울특별시 마포구 상암동 상암산로1길92,공동주택,월드컵파크 7단지(1, 2, 3, 4, 5=각경비실1개씩),5.0,김종권,자원순환과,02-3153-9216,45064.0,
270.0,서울특별시 마포구 상암동 상암산로1길57,공동주택,월드컵파크 6단지 (지하1층 A05),1.0,김종권,자원순환과,02-3153-9216,45064.0,
271.0,서울특별시 마포구 상암동 상암산로1길52,공동주택,월드컵파크 5단지 (제1, 3경비실1개식),2.0,김종권,자원순환과,02-3153-9216,45064.0,
272.0,서울특별시 마포구 상암동 상암산로1길24,공동주택,월드컵파크 4단지 (407동 앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
273.0,서울특별시 마포구 상암동 월드컵로338,공동주택,월드컵파크 3단지 (301, 304, 305, 309=각동1개씩=4개),4.0,김종권,자원순환과,02-3153-9216,45064.0,
274.0,서울특별시 마포구 상암동 월드컵북로47길 46,공동주택,월드컵파크 2단지 1개(201동 앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
275.0,서울특별시 마포구 상암동 월드컵북로 47길8,공동주택,월드컵파크 1단지 2개(101, 102=각동1개씩=2개),2.0,김종권,자원순환과,02-3153-9216,45064.0,
276.0,서울특별시 마포구 상암동 월드컵북로42가길11 ,공동주택,휴먼시아 (주공)@ 2단지 (203동앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
277.0,서울특별시 마포구 상암동 월드컵북로43길11,공동주택,휴먼시아 (주공)@ 1단지 (101동.104동 앞=2개),2.0,김종권,자원순환과,02-3153-9216,45064.0,
278.0,서울특별시 마포구 상암동 월드컵북로 502-14,학교,하늘 초등학교,1.0,김종권,자원순환과,02-3153-9216,45064.0,
279.0,서울특별시 마포구 상암동 매봉산로2길16,주민센터,상암동 주민센터,1.0,김종권,자원순환과,02-3153-9216,45064.0,
280.0,서울특별시 마포구 상암동 월드컵북로48길38,주택가,휴암공원 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
281.0,서울특별시 마포구 상암동 상암동 1619번지,주택가,새누리공원 앞,1.0,김종권,자원순환과,02-3153-9216,45064.0,
282.0,서울특별시 마포구 상암동 월드컵북로 375,공동주택,iaan 주상복합 @1단지(정문 앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
283.0,서울특별시 마포구 상암동 월드컵북로 361,공동주택,iaan 주상복합 @2단지(지하1층 D2 앞),1.0,김종권,자원순환과,02-3153-9216,45064.0,
284.0,서울특별시 마포구 상암동 월드컵북로 353 ,학교,상암초등학교,1.0,김종권,자원순환과,02-3153-9216,45064.0,
